name,platform,year_of_release,gendre,publisher,developer,rating
NHL 2000,PS,1998,Sports,Electronic Arts,,
MLB 99,PS,1998,Sports,Sony Computer Entertainment,,
The Game of Life,PS,1998,Misc,Unknown,,
MediEvil,PS,1998,Platform,Sony Computer Entertainment,,
The Next Tetris,PS,1998,Puzzle,Atari,,
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,Sports,Konami Digital Entertainment,,
Major League Baseball Featuring Ken Griffey Jr,N64,1998,Sports,Nintendo,,
NBA ShootOut 98,PS,1998,Sports,Sony Computer Entertainment,,
ISS Pro Evolution,PS,1998,Sports,Konami Digital Entertainment,KCET,E
Mortal Kombat 4,N64,1998,Fighting,GT Interactive,,
SD Gundam G Generation,PS,1998,Strategy,Namco Bandai Games,,
Fear Effect,PS,1998,Action,Eidos Interactive,,
South Park,PS,1998,Shooter,Acclaim Entertainment,,
Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,,
Chocobo's Dungeon 2,PS,1998,Role-Playing,SquareSoft,,
NFL Xtreme,PS,1998,Sports,Sony Computer Entertainment,,
Bushido Blade 2,PS,1998,Fighting,SquareSoft,,
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,Konami,T
Street Sk8er,PS,1998,Sports,Electronic Arts,,
Spice World,PS,1998,Action,Sony Computer Entertainment,,
Tiger Woods PGA Tour 2000,PS,1998,Sports,Electronic Arts,,
Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,,
Um Jammer Lammy,PS,1998,Misc,Sony Computer Entertainment,,
Animaniacs Ten Pin Alley,PS,1998,Sports,ASC Games,,
Centipede,PS,1998,Shooter,Atari,,
Cruis'n World,N64,1998,Racing,Nintendo,,
A Bug's Life,N64,1998,Platform,Activision,,
Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,Core Design Ltd.,T
NFL Quarterback Club 99,N64,1998,Sports,Acclaim Entertainment,,
Small Soldiers,PS,1998,Platform,Electronic Arts,,
BeatMania Append 3rdMix,PS,1998,Simulation,Konami Digital Entertainment,,
Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,,
CyberTiger,PS,1998,Sports,Electronic Arts,,
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,,
International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,,
World Cup 98,N64,1998,Sports,Electronic Arts,,
Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,,
Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,,
Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,,
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,Game Arts,T
Super Robot Taisen F Kanketsuhen,SAT,1998,Strategy,Banpresto,,
FIFA 99,N64,1998,Sports,Electronic Arts,,
Bust A Groove,PS,1998,Misc,Sony Computer Entertainment,,
Rival Schools: United By Fate,PS,1998,Fighting,Capcom,,
Wu-Tang: Shaolin Style,PS,1998,Fighting,Activision,,
All-Star Baseball 99,N64,1998,Sports,Acclaim Entertainment,,
NBA Live 99,N64,1998,Sports,Electronic Arts,,
Bomberman Hero,N64,1998,Platform,Nintendo,,
Quest 64,N64,1998,Role-Playing,Konami Digital Entertainment,,
NCAA Gamebreaker 99,PS,1998,Sports,989 Studios,,
World Stadium 2,PS,1998,Sports,Namco Bandai Games,,
